Method,Features,Accuracy,Accuracy Std,F1 Score,ROC-AUC
PCA + KNN,PCA (6 PCs),0.4679999999999999,0.08551023330572781,0.4193157749605455,0.46108974358974364
XGBoost,12 selected,0.4960000000000001,0.08800000000000001,0.4322465455629889,
Logistic Regression,12 selected,0.5552,0.08104912090824921,0.53619484254315,0.597051282051282
