,Accuracy,F1-Score,ROC-AUC,Accuracy_Mean,F1_Mean,AUC_Mean
Logistic Regression,0.4696 ± 0.0811,0.4540 ± 0.0810,0.7686 ± 0.0536,0.4696,0.4539588309866948,0.7686154385964913
Random Forest,0.4712 ± 0.0781,0.4579 ± 0.0753,0.7597 ± 0.0465,0.47120000000000006,0.4578639124274419,0.7596902923976607
XGBoost,0.4840 ± 0.0828,0.4734 ± 0.0815,0.7617 ± 0.0463,0.48400000000000004,0.47340082022552615,0.7616821052631579
