Feature,Importance
IL-21,0.116732866
IL-17A,0.09844101
GM-CSF,0.097576514
IL-4,0.090385616
IL-12p70,0.08231017
IL-23,0.07849909
IL-27,0.07805594
IL-9,0.07706812
IL-13,0.07417508
IL-22,0.07234018
IL-10,0.06921077
IL-6,0.0652047
