,IFN-gamma,IL-12p70,IL-13,IL-1beta,IL-2,IL-4,IL-5,IL-6,TNF-alpha,GM-CSF,IL-18,IL-10,IL-17A,IL-21,IL-22,IL-23,IL-27,IL-9
CytoPCA_1,-0.12339483429553534,-0.2622112834751671,-0.25917890933854554,-0.2538686470712432,-0.23568203881528682,-0.27543187538681396,-0.24468464655258806,-0.24204423686370263,-0.24619327122820064,-0.2635226681173131,-0.11381890176105168,-0.25941673666749465,-0.2762669817502625,-0.17742842371063158,-0.2349782401945893,-0.203667938130625,-0.2804697771577107,-0.20263546657972337
CytoPCA_2,0.25950594832358953,-0.17669795232150304,-0.18762396898055606,-0.12116043137929988,-0.2530716834740092,-0.17998675669727993,-0.21450624722629485,-0.14995318240693126,-0.19527178659216454,-0.19921874763674277,0.23577682860040922,0.10486377038377429,0.12142398230214083,0.4082253843808998,0.32877007313506035,0.3824756252426718,0.04107582437467688,0.3236508249954792
CytoPCA_3,0.6027676627714603,0.08137957503670412,0.061850189040754955,0.18048695301296885,-0.07191952742174133,0.08401488009536068,-0.09734262269702962,0.011314212229343755,0.14773994342714436,-0.06985011511430207,0.6271805411985993,-0.10830452181300676,-0.1596477666648518,-0.1569162509493719,-0.15419704836741963,-0.2008856079357916,-0.1134051356728689,-0.113661673038954
