,Accuracy,F1-Score,ROC-AUC,Accuracy_Mean,F1_Mean,AUC_Mean
Logistic Regression,0.8208 ± 0.0621,0.8018 ± 0.0634,0.9155 ± 0.0409,0.8208,0.8017708382059127,0.9154950498776584
Random Forest,0.7624 ± 0.0685,0.7425 ± 0.0711,0.8748 ± 0.0550,0.7624,0.7425461220452398,0.8748419781667609
XGBoost,0.7488 ± 0.0645,0.7310 ± 0.0672,0.8624 ± 0.0544,0.7487999999999999,0.7310164795392217,0.8623636815358554
