Feature,Importance
IL-1beta,0.10199237
IL-18,0.097871765
IL-13,0.08691313
IL-4,0.08517626
GM-CSF,0.08273229
IL-10,0.081502795
IL-6,0.08096701
IL-22,0.08087927
IL-9,0.07817117
IL-2,0.077899426
IL-21,0.07549963
IL-5,0.07039488
