Method,Features,Accuracy,Accuracy Std,F1 Score,ROC-AUC
PCA + KNN,PCA (6 PCs),0.47840000000000005,0.09049552475122734,0.44574880756279,0.46865384615384614
XGBoost,12 selected,0.504,0.09465727652959387,0.4484608380656301,
Logistic Regression,12 selected,0.5496,0.1169779466395269,0.5240817998114298,0.6015384615384616
