,std
IL-21,0.34548846
IL-22,0.18956038
IFN-gamma,0.17586565
IL-18,0.16244198
IL-23,0.14957353
IL-4,0.13714024
IL-10,0.13660015
IL-6,0.12802552
IL-9,0.12187265
IL-2,0.113232836
IL-1beta,0.1125648
IL-27,0.10434816
batch,0.10087812
IL-17A,0.084626004
TNF-alpha,0.07162831
IL-13,0.0705875
IL-5,0.064505555
IL-12p70,0.05407896
GM-CSF,0.04625393
