Method,Accuracy,F1_Score,Sensitivity,Specificity,Notes
"KNN (PCA=5/mod, K=7)",0.696,0.7077,0.7302,0.6613,"Cross-validated, combined cytokine + cell type PCs"
Fuzzy C-Means (k=2),0.584,0.5593,0.5238,0.6452,"FPC=0.5000, full dataset (no CV), combined PCA space"
Fuzzy C-Means (k=3),0.584,0.5517,0.5079,0.6613,"FPC=0.3333, full dataset (no CV), combined PCA space"
Fuzzy C-Means (k=4),0.576,0.5047,0.4286,0.7258,"FPC=0.2500, full dataset (no CV), combined PCA space"
Fuzzy C-Means (k=5),0.584,0.5806,0.5714,0.5968,"FPC=0.2000, full dataset (no CV), combined PCA space"
Fuzzy C-Means (k=6),0.584,0.5,0.4127,0.7581,"FPC=0.1667, full dataset (no CV), combined PCA space"
