,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Accuracy_Mean
Logistic Regression,0.5504 +/- 0.0802,0.5411 +/- 0.0673,0.8053 +/- 0.0850,0.6438 +/- 0.0580,0.6205 +/- 0.0993,0.5504000000000001
Random Forest,0.5936 +/- 0.0840,0.6011 +/- 0.1061,0.6281 +/- 0.1344,0.6048 +/- 0.0927,0.6621 +/- 0.0967,0.5936
Gradient Boosting,0.5832 +/- 0.0943,0.5891 +/- 0.1009,0.5985 +/- 0.1379,0.5869 +/- 0.1025,0.6110 +/- 0.0962,0.5832
SVM (RBF),0.5616 +/- 0.0720,0.5443 +/- 0.0561,0.8731 +/- 0.0702,0.6680 +/- 0.0477,0.6531 +/- 0.1520,0.5616
XGBoost,0.6168 +/- 0.0858,0.6213 +/- 0.0987,0.6435 +/- 0.1316,0.6248 +/- 0.0933,0.6629 +/- 0.1047,0.6168
