Feature,Importance
IL-23,0.15581718
IL-13,0.09310563
IL-5,0.09284839
IL-21,0.0926989
IL-6,0.08374325
IL-9,0.07871657
IL-22,0.07308156
IL-18,0.07285168
IL-1beta,0.067160815
IL-10,0.0652641
IL-2,0.06380738
IFN-gamma,0.06090463
