Method,Input Features,Accuracy (Mean),Accuracy (Std),F1-Score (Mean),F1-Score (Std)
PCA + KNN,PCA (8 components),0.2704,0.07135712998712883,0.24260937686324685,0.06840790637643773
XGBoost,Raw (12 selected),0.2528,0.07977568551883463,0.23434940421807293,0.07857226122399862
Logistic Regression,Raw (12 selected),0.3032,0.06978366571053717,0.2872204619391616,0.07395457283549807
